Provinsi,Populasi,PDRB,Luas Provinsi
Aceh,4494.4,79145,57956
Sumatera Utara,12982.2,275057,72981.23
Sumatera Barat,4846.9,87227,42012.89
Riau,5538.4,345774,87023.66
Jambi,3092.3,53858,50058.16
Sumatera Selatan,7450.4,157735,91592.43
Bengkulu,1715.5,18600,19919.33
Lampung,7608.4,108404,34623.8
Bangka Belitung,1223.3,26713,16424.06
Kepulauan Riau,1679.2,71615,8201.72
DKI Jakarta,9607.8,861992,664.01
Jawa Barat,43053.7,771594,35377.76
Jawa Tengah,32382.7,444666,32800.69
DI Yogyakarta,3457.5,45626,3133.15
Jawa Timur,37476.8,778564,47799.75
Banten,10632.2,171748,9662.92
Bali,3890.8,67194,5780.06
Nusa Tenggara Barat,4500.2,49632,18572.32
Nusa Tenggara Timur,4683.8,27746,48718.1
Kalimantan Barat,4396,60542,147307
Kalimantan Tengah,2212.1,42571,153564.5
Kalimantan Selatan,3626.6,59823,38744.23
Kalimantan Timur,3553.1,321764,204534.34
Sulawesi Utara,2270.6,36809,13851.64
Sulawesi Tengah,2635,37314,61841.29
Sulawesi Selatan,8034.8,117862,46717.48
Sulawesi Tenggara,2232.6,28377,38067.7
Gorontalo,1040.2,8057,11257.07
Sulawesi Barat,1158.6,10985,16787.18
Maluku ,1533.5,8085,46914.03
Maluku Utara,1038.1,5390,31982.5
Papua Barat,760.4,26873,97024.27
Papua,2833.4,87733,319036.05
